District,Crops,Kharif,Jan-water,Feb-water,Mar-water,Apr-water,May-water,Jun-water,Jul-water,Aug-water,Sep-water,Oct-water,Nov-water,Dec-water,Major,Minor
Bagalkote,Linseed,0,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Safflower,0,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Maize,0,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Ben.gram,0,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Wheat,0,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Sunflower,0,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Jowar,0,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Bajra,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Maize,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Sunflower,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Jowar,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,G.nut,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Sesamum,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Soyabean,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,G.gram,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,H.gram,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Cotton,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,Horsegram,0,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bagalkote,S.cane,1,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631,Black  ,Red  
Bangalore Rural,Ragi,1,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151,Red  ,Sandy  
Bangalore Rural,Paddy,1,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151,Red  ,Sandy  
Bangalore Rural,Horsegram,0,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151,Red  ,Sandy  
Bangalore Rural,Avare,1,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151,Red  ,Sandy  
Bangalore Rural,H.gram,1,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151,Red  ,Sandy  
Bangalore Rural,Niger,1,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151,Red  ,Sandy  
Bangalore Rural,Maize,1,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151,Red  ,Sandy  
Bangalore Rural,G.nut,1,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151,Red  ,Sandy  
Bangalore Rural,Castor,1,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151,Red  ,Sandy  
Bangalore Urban,Ragi,1,23677,29457,31253,67880,131768,86723,162625,201100,193268,208899,100757,67543,Red  ,Sandy  
Bangalore Urban,Paddy,1,23677,29457,31253,67880,131768,86723,162625,201100,193268,208899,100757,67543,Red  ,Sandy  
Bangalore Urban,Avare,1,23677,29457,31253,67880,131768,86723,162625,201100,193268,208899,100757,67543,Red  ,Sandy  
Bangalore Urban,Maize,1,23677,29457,31253,67880,131768,86723,162625,201100,193268,208899,100757,67543,Red  ,Sandy  
Bangalore Urban,Horsegram,0,23677,29457,31253,67880,131768,86723,162625,201100,193268,208899,100757,67543,Red  ,Sandy  
Belgaum,Sunflower,1,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
Belgaum,Tur,1,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
Belgaum,Avare,1,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
Belgaum,Horsegram,1,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506,Black  ,Red  
