District,Major,Minor
Bagalkote,Black  ,Red  
Bellary,Red  ,Black  
Belgaum,Black  ,Red  
Bangalore Rural,Red  ,Sandy  
Bangalore Urban,Red  ,Sandy  
Bijapur,Red,Black
Bidar,Black  ,Red  
Chamrajnagara,Red  ,Black  
Chikballapur,Red  ,Sandy  
Chikmagalur,Loam,Sandy  
Chitradurga,Red  ,Black  
Dakshin Kannada,Sandy  ,Loam
Davangere,Red  ,Black  
Dharwad,Black  ,Red  
Gadag,Black  ,Red  
Hassan,Red  ,Black  
Haveri,Red  ,Black  
Kodagu,Black  ,Red  
Kolar,Red  ,Red Sandy
Koppal,Red  ,Black  
Mandya,Red  ,Loam Sandy
Mysore,Red Sandy,Black  
Raichur,Black  ,Red  
Ramnagara,Red  ,Red Sandy
Shimoga,Red  ,Black  
Tumkur,Red,Red Sandy
Udupi,Sandy  ,Red Sandy
Uttara Kannada,Laterite,Loam
Gulbarga,Black  ,Red  
Yadgir,Black  ,Red  
