District,Jan-water,Feb-water,Mar-water,Apr-water,May-water,Jun-water,Jul-water,Aug-water,Sep-water,Oct-water,Nov-water,Dec-water
Bagalkote,24225,28810,33126,55514,66473,85995,153188,165855,196226,143882,78540,32631
Bangalore Rural,17882,21773,24994,60781,118904,81233,128448,166292,182285,186994,89177,28151
Bangalore Urban,23677,29457,31253,67880,131768,86723,162625,201100,193268,208899,100757,67543
Belgaum,31230,36111,45265,74877,89123,131556,313140,255553,184158,179244,98971,41506
Bellary,15814,18464,20530,46089,76088,79248,125488,144079,171001,132002,57544,23921
Bidar,43609,51848,60880,76775,56080,168469,330484,352971,289043,154482,99185,49796
Bijapur,14875,17702,20882,35609,44963,89248,120415,127929,185694,110480,51757,21101
Chamrajnagara,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324
Chikballapur,9981,11796,16322,44092,91128,82701,120157,127401,155483,149495,58281,18528
Chikmagalur,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718
Chitradurga,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140
Dakshin Kannada,11553,9554,18201,56147,177505,946209,1323740,833953,336769,271556,107064,26225
Davangere,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313
Dharwad,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263
Gadag,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470
Gulbarga,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381
Hassan,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293
Haveri,19525,22163,26867,64359,91766,112621,232164,176896,126802,160606,73677,30295
Kodagu,30742,35792,47409,110237,168503,510352,1029230,641321,282028,260120,132084,47460
Kolar,18565,18598,22266,47242,90484,72211,109270,133650,166076,155824,87285,29259
Koppal,14256,15219,18487,41342,61202,72583,126992,146212,167325,128946,47021,21573
Mandya,15705,19565,23767,67525,133759,56067,87778,116463,141827,196574,86802,28954
Mysore,16892,22103,30532,85622,150579,78134,149641,137154,123246,183567,89272,28376
Raichur,14017,16967,22227,35069,44977,88349,152538,167690,182964,112602,47696,21326
Ramnagara,13700,15866,20639,53023,99097,208989,339632,244942,178783,159760,69525,24879
Shimoga,15660,18718,26048,63994,99506,320954,728940,410658,163608,177114,72047,26041
Tumkur,44495,51740,57776,91678,125959,100352,211478,260000,226990,233421,138114,55686
Udupi,15381,15122,19247,52893,179558,1065783,1381538,848607,410412,249302,100707,31549
Uttara Kannada,4025,4486,7784,32219,105544,682867,1016472,566870,255265,154707,55021,15335
Yadgir,8311,10475,15169,48692,99310,115248,220475,154456,122550,148823,60684,17424
